timestamp,x,y,theta,linear_speed,angular_speed,angular_cmd,speed_cmd,cte,safety_flag
1767866914.6105132,0.0,0.0,0.0,0.5,0.039217926207042814,0.039217926207042814,0.5,-0.04902240775880351,0
1767866914.6117563,0.0,0.0,0.0,0.5,0.039217926207042814,0.039217926207042814,0.5,-0.04902240775880351,0
1767866914.6183834,0.0,0.0,0.0,0.5,0.03803078333536778,0.03803078333536778,0.5,-0.047538479169209724,0
1767866914.6194987,0.0,0.0,0.0,0.5,0.03803078333536778,0.03803078333536778,0.5,-0.047538479169209724,0
1767866914.6224606,0.0,0.0,0.0,0.5,0.03803078333536778,0.03803078333536778,0.5,-0.047538479169209724,0
1767866914.6264193,0.0,0.0,0.0,0.5,0.03892824990408759,0.03892824990408759,0.5,-0.04866031238010948,0
1767866914.6415093,0.0,0.0,0.0,0.5,0.03892824990408759,0.03892824990408759,0.5,-0.04866031238010948,0
1767866914.6571143,0.0,0.0,0.0,0.5,0.03888369514828636,0.03888369514828636,0.5,-0.048604618935357946,0
1767866914.6596327,0.0,0.0,0.0,0.5,0.03888369514828636,0.03888369514828636,0.5,-0.048604618935357946,0
1767866914.6807418,0.0,0.0,0.0,0.5,0.03927338463919501,0.03927338463919501,0.5,-0.04909173079899376,0
1767866914.6982603,0.0,0.0,0.0,0.5,0.038551843734014574,0.038551843734014574,0.5,-0.04818980466751821,0
1767866914.7352095,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7393367,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.747626,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7482285,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7512734,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7545676,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7573915,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7615006,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7668693,0.0,0.0,0.0,0.5,0.038509577796572714,0.038509577796572714,0.5,-0.04813697224571589,0
1767866914.7783067,0.0,0.0,0.0,0.5,0.038509577796572714,0.038509577796572714,0.5,-0.04813697224571589,0
1767866914.7818537,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7822456,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.7898827,0.0,0.0,0.0,0.5,0.04247342518397748,0.04247342518397748,0.5,-0.053091781479971845,0
1767866914.7962337,0.0,0.0,0.0,0.5,0.04247342518397748,0.04247342518397748,0.5,-0.053091781479971845,0
1767866914.8015718,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.819557,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.8226545,0.0,0.0,0.0,0.5,0.040997913905552436,0.040997913905552436,0.5,-0.05124739238194054,0
1767866914.8273377,0.0,0.0,0.0,0.5,0.040997913905552436,0.040997913905552436,0.5,-0.05124739238194054,0
1767866914.8389804,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.8413346,0.0,0.0,0.0,0.5,0.04056823367164242,0.04056823367164242,0.5,-0.05071029208955302,0
1767866914.85098,0.0,0.0,0.0,0.5,0.040062581925165125,0.040062581925165125,0.5,-0.0500782274064564,0
1767866914.8547215,0.0,0.0,0.0,0.5,0.040062581925165125,0.040062581925165125,0.5,-0.0500782274064564,0
1767866914.8579335,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
1767866914.858915,0.0,0.0,0.0,-0.5,0.6,0.6,-0.5,0.0,1
